,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5
ASV_312,1,2,1,1,4,9,5,4,0,0,0,0,0,13,24,31,36,20
ASV_313,1,7,11,3,21,19,33,20,17,0,1,0,0,0,4,4,7,3
ASV_314,0,0,0,0,0,0,0,0,0,32,41,25,53,0,0,0,0,0
ASV_315,0,0,0,0,0,0,0,0,0,0,3,135,13,0,0,0,0,0
ASV_316,2,54,9,1,1,10,2,16,55,0,0,0,0,0,0,0,0,0
ASV_317,6,4,18,6,16,11,16,10,6,0,0,0,0,7,15,5,18,12
ASV_318,5,30,25,7,12,11,6,29,22,0,0,0,0,1,2,0,0,0
ASV_319,8,5,3,9,0,6,3,3,1,0,0,0,0,14,24,14,34,26
ASV_320,0,0,0,0,0,0,0,0,0,29,58,33,30,0,0,0,0,0
ASV_321,0,0,0,0,0,0,0,0,0,29,48,33,40,0,0,0,0,0
ASV_322,6,3,15,1,12,9,33,24,39,1,1,1,0,0,0,0,1,3
